Corpus,Source/Author,Year range,File Name,Content,Interrogative pronoun,Interrogative Adverb,Expletive,Other,Not sure
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Misié pa té sav sa sa yé mé , i té konnet ta Malou éti i té ka glisé yonn-dé ti kout ren .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lotel la éti yo té yé a , té tro chè !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Cher boug-la pa sav ki nou an périod siklòn éti a nenpot ki lè yonn pé tonbé anlè nou kon an manjépoulé asou an ti-poul .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"I kité péyi ladopsion ' y , Lafrans éti ni lété , pou i sa pran bon dlo isia .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Yo té fini fè foto ba Fransantiy éti yo té tibren konstipé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Magré an défilé an blan ant Lwi Achil épi Lisé Limina Sofi éti ou té ka tann : Fizi , kouto , blésé moun nou pa anlè sa !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyolad 338 Antilla n1425 , 14 octobre 2010 Jenn Karlos Jenn Karlos ka né , la éti plen tèbèdjè ek fanatik ka fè latjé laéwopò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Moun éti ka atann bato touris té tou tris wikèn-la .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man aprann , menm manniè té ni fransé-bannann éti moun ka fè kawo , atjelman i ni kréyol ponm-tè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Kontel Gaël éti gran-maman ' y toujou kriyé : Monfi !,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kidonk , sa ki ni pat wou , ké anvi kontinié vréyé mépri asou ti travayè ka chaché an jounen travay , éti pizanpi ka vini ra kon zé bourik .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Pandan tan-an , lopital ka soufè telman éti i oblijé mandé Laréjion an ti sousou dé million pou yo pé achté rimed ba malad .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ni an zafè jan Préchè ki pa ka rété Préchè éti Lajistis di yo pa pou voté Préchè .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,I batizé nouvo bò lanmè-a éti yo anvi kriyé Malécon pabò Lasavann .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sa fè yo hc83 ki chak fè an parti éti alafen non-an , yo mété M. Pas yo enmen Matinik an patjé , yo pa di sa an kréyol mé an fransé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sé té an moman ki pa té pou moun ka soufè di tjè hc91 Apré dé won éti chak kandida té bal hc92 bal , sé apré twaziem won votman an , yo fini pa trouvé ' y .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"H97 Menm sé monn hc98 Konsey Jénéral la , éti dépi diznévan té jé ni labitid épi kod-li té tibren maré ek mélé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sa vé di ki yo an nwè koté démach éti yo fè pabò gouvelman Lafrans .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,I batizé nouvo bò lanmè-a éti yo anvi kriyé Malécon pabò Lasavann .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Mé i pé di kanmenm pa bati tel koté éti yo sav té ni dlo ka pasé anba tè .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Tout lo pawol-tala éti ka fè bon tjim , sé pas an lizin pa koté Palmis ki té oubliyé fèmen an vàn dépi vandrèdi-oswè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Fransanti ' y ja fè paret an ti jounal éti ou pé chwézi pou pati an Vakans Matinik , pou pasé vakans bò kay .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni anlè , man alé najé , ni an wawet ki di mwen : Jid , di sé moun-an ka li Kréyolad-la , pran pokosion épi lanmè-a , pas lè nou ké lévé faché , nou ka anni mété an bariè éti pèsonn pé ké sa vini an lanmè ankò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sa ki kon mwen éti anglé-yo pa ka djè monté mòn , sav ki sa vé di : avan Tour Yol la .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni dé malpalan , toujou ni éti pa ma d170 tjé pou di : Vié lodè wawet Robè , té ké an-final-di-kont an zenzen !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé bien sa éti yo kriyé fè wol mò pou wè ki manniè yo ka téré ' y .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé pa kon adan bal tjenz out la éti nonm té ra kon zé bourik .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé ki jenn-tala té anpami lé chansé la mision lokal la éti té pofité anboché bon épé ki té ka ba lari chenn .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lé gran zélektè , kidonk konséyé jénéral , réjional , minisipal , sé mésié pa déviré lékol mé yo té adan an kolej éti yo chak ka kriyé kò-yo yonn-a-lot , koleg .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"10.2011 Dépi lanné 1981 , an bann manmay vidjò , sé té dé kréyolis pa koté Sent-Lisi , yo mété atè an sanblaj éti yo kriyé Bannzil kréyol .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyol toujou la , menm si délè man ka pè pou i pa vini kon Trinidad éti an sel komin ka palé ' y toujou .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Yo té lé montré ki sé pa yenki anlè fanm meg kon taso oben mens kon an fey-tol , éti zié moun pé gadé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"I désidé fè kon sé ti jenn-jan an tou , pas menm prézidan Ayiti a éti yo kriyé Tet-kalé , sé kon sa i ka fè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé moun Martinique Écologie a lé an lot politik pou péyi-a pran an lot chimen ki pa chimen chien éti nou pé garé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ében sa tewminé ba Jeff asou tè Matinik éti i té enmen .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Misié ka dòmi boulé é i ka lévé sou , i di mwen : Man pé ké alé pies koté éti yo pa ka respekté mwen !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"H207 man hc208 pas à la bibliothèqe schoelcher 24 Année 2012 Kréyolad 401 du 5 janvier 2012 à 449 du 27 décembre 2012 Kréyolad 401 Antilla 1489 , 5 janvier 2012 2012 : an lanné nef Démil wonz fèmen lapot-li asou an mond éti kriz ka pran tout moun .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man préféré kwè tou sa éti ni dwa voté , ni tan enskri kò-yo asou lis élektoral pou voté .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Simenn-tala Laréjion ni an bokantaj asou Lang ek Kilti Réjional éti la ni anlo délégasion ké vizité nou pou bokanté alantou lé média .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni an kandida éti papa ' y té trapé an falfret Lanmanten , i pa menm pran lapenn bòdé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man fè sé touris-la konprann éti nou té adan an sel LIANNAJ épi Lagwadloup , pas la té H16 ESPLOZION Zabim éti té ka dansé WAKA .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man fè sé touris-la konprann éti nou té adan an sel LIANNAJ épi Lagwadloup , pas la té H16 ESPLOZION Zabim éti té ka dansé WAKA .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Dédé palé di moun éti ka détounen ladémokrasi .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"L ' UFM an- final-di-kont , bien kontan pas ké ni dé fanm éti ka prézanté kò-yo anlè pwa kò-yo é pa pou soutni oben soutiré boug politik .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Asou sé pano-a té ni ki dé kandida selman , éti lérestan ?",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Toupandan pa koté Lafrans té ni gro konflérans éti dé kandida ka vanté bouyon-yo , Maslen li menm té sanblé lé patriyot pa koté Préchè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Pa koté Préchè éti nou tout sav Maslen toujou di dé mo san mété mas an fidji ' y .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sa ki ja mè , éti ki pa djè asiré pasé , ka asiré plas-yo .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Toupandan man té ka woulé man wè an drapo Sonjé yo mé an bandwol té ka fidjiré épi ' y éti ou té pé li : Remété neg-mawon an plas ay Man mandé an lot zanmi Gwadloup es yo déplasé Neg-mawon an .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Dapré mwen sé té an estati kon Jozéfin éti yo té déplasé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,É sé di la man chonjé chanté Djo-a éti ka di : Viv neg mawon Sé boug ki solid Sé boug ki pété chenn Sé boug ki vayan .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni an kandida ki santi bagay-la cho , i mandé Toto an konpè ' y Gwadloup éti yo fini nonmen minis , vini bay an pal .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sa man konstaté kanmenm sé ki ni an kandida éti yo pa ka palé di ' y mé ki ka envité kò ' y dépi yonn-dé tan .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Mona nou bizwen énerji ' w pou nou sa sipòté lavi k H111 a éti ka vini pizanpi red .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Mèsi misié Mona pou nou sa aprann chimen lavi avan nou pran ti-chimen an éti nou tout la ké pasé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Dapré mwen ni bon moun ka trapé tout kalté malkadi é ni anlo éti ka koumansé nouri an ti krab yo pa menm sav .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ou fè nou chonjé listwa péyi-nou atè Chelchè épi bel liv-ou a éti ou ripran pou ba nou Case Navire : Figures Schlchéroises , épi Un certain Victor Schlcher tou .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,San mennen nou Lanmanten éti ou fè nou konnet Château Aubéry .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Pou tou sa ou ja fè ba fanmiy-ou , ba kréyol , ba komin-ou , ba péyi ' w Matinik ek tout péyi kréyolopal éti ki enmen litérati , épi kréyolomaj-tala nou ka di ' w : Mèsi misié Joj Movwa .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Manmay , si sa ka kontinié Jan-Filip pa tala ki ni lò a , pa koté Sent-Lis mé tala éti ni menm non épi prézidan Ayiti a. Misié ké kontinié chanté toujou : Pa ni an bon moun , yenki ... zot ja sav .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Antouléka Antilla ka di tou sa éti ni labitid li kréyol-la kontinié djoubaté .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Anni gadé , ja ni anlo yich éti ki palé tann palé di papa-yo ek manman-yo ankò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyolad 453 Antilla 1544 , 24 janvier 2013 Lapèch an frédi Lapech dan lanej sa red , sé sa Bètran éti ki mennen konba épi Lentersendika aprann .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Es fok kité ba prézidan jòdi-jou éti péchè éli ?,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Asiparé i té ké tro pré SeLe éti ki péyé biyé-yo .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Antouléka , sé pa kandida selman éti ka wouspété , man jik wè Albertin fè an kout djel an jounal-la pa Antilla-an pou di ich-li té majoret é yo pa menm kité ' y antré wè ' y .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sé mésié ki puisan , pa té lé tann palé di zafè filon pou an pati moun selman éti ni dwa mayé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Pa kontel Étièn , éti té adan an manif an févriyé démil nef .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"hc13 Kréyolad 461 Antilla 1552 , 21 mars 2013 Foyal ka brennen Dimanch té ni an gran sanblé patriyotik pou déchouké sa yo konsidéré kon an Parti éti ki Pa Matinitjé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Anni gadé sa ja cho telman , lé manmay la SOCOPMA a désann pou mandé ranbousé yo 90 milion machandiz éti yo ka dwé yo .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Kom mwa mas la sé mwa éti yo ka mété fanm a lonè .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lè man rivé Chelchè adan an kat-kwazé éti yo kriyé wonpwen Lakolin , man wè an fénomèn .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Tou sa , pas i alé fè an won éti an kanmarad-li ki té larmé épi ' y ek ka viv atjelman pabò Lasuis .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Misié entjet kon an tatjet dan an finet nef , mi atjelman tout moun lé sav sa i ni labank , alow ki sé an vié ti ritret éti pa ka menm permet li péyé fakti ' y kisiswa dlo oben limiè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ti-péyi nou-an éti ou té enmen kon an bel chabin pas ou toujou di nou Fanm Matinik dou .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man konnet anlo éti dépi lontan , té ké ja ralé kanno-yo atè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Érik ou ni ras neg éti ki pa ka fébli !,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Antouléka fok i ké ni an méyè bato éti pilot-li pa ka tonbé an pàn tou lé sen minit .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Man mandé ' y es i konnet lesklav Romen éti yo té opozé bat tanbou an 21 mé an 1848 ?,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kisiswa Gro-Mòn , Sen-Jozef éti ni démision an pagal .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sa ki té ka kouté adan radio té ka konstaté ki yonn-dé éli éti ki té lé réglé yonn-dé kont .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ni anlo éti ki ni bagay anlè tjè-yo .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Li éti ki fè anlo Neg santi yo Neg pou bon .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Mé si i fè an nouvo filzofi épi la Négritid , ni yonn-dé moun éti ki égri , san fè létid .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"An gran konsit fet Latriom , la té ni tout kalté moun : Sézérofil éti ka fè tout bagay pou liv Sézè kontinié fè fil kon an sèvolan an siel limanité .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sézérolat , sé pa milat selman éti ki rayi Neg , sirtou lè ' w di yo sé an nègres ki manman-yo .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Ni an kandidan éti bouden ' y gwo telman i pa ka wè bout pié ' y , i désidé i ké fè an kout foutbol vakans .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Pa koté Gwo-Mòn , Albè , zot sav tala ki enmen manjé mango zéfirin la , i démisioné an adjwen éti chien-yo pa ka chasé ankò .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Frè ' y HC44 Adjilbè éti chien-yo pa janmen chasé , di ' y kon sa : Poutji ou vini , ou sé pé té rété an kannikil-la .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,I ni ki sa ki pa ni lanmè éti sa pa ka entérésé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lè misié alé wè Lèvasò , i pa té lé konprann ki manniè yo fè pou baré larivié-tala éti té ka fè bon déga lè i té ka désann .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Manman-an kom tjansé , mé misié , éti ki ni douzan selman , di manman ' y : Sé tet-mwen man ni dwa fè sa man lé adan ' y !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Bel poveb kréyol Kotjinri pa ka monté mòn , ek si kay koulé tronpé soley lipa hc63 janm tronpé lapli . Kréyolad 490 Antilla 1581 , 10 octobre 2013 Travay lé dimanch Adan zafè travay lé dimanch-lan , ni anlo moun kontel Silvaniz , éti bouch yo pa ni dimanch .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Silvaniz ka chonjé ti-yich li éti ka fè étid an Frans .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Adjilbè éti madanm-li té ka mandé ' y koupé zeb pres tou lé dimanch pofité di ' y kon sa : Gouvelman ka défanm mwen travay lé dimanch , man pa ka fè ayen ankò !",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sa pa ka sanm an tan éti gran-man ém65 ek gran-papa nou té ka viv ?,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyolad 492 Antilla 1583 , 24 octobre 2013 Pa toutafetman toktok Lasimenn pas ni an bann boug éti ki pa toutafetman tooktok ki débatjé Matinik .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sé toujou menm bagay la , sé moun ayè éti ka montré nou lamanniè manjé péyi nou bon ek rich épi bon vitamin .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Papa nou té sa fè bel donbré ek dolfin éti pa té ka ba moun grobouden .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Fok di tou , ni yonn éti yo ka kriyé Manuel , misié valsé lè i gouté an Bondamanjak , i konprann sé té an siriz .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Mé anlo komersan éti dan yo té ja ka fè sik , vini tris kon an jou san pen .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Sé kondisiré adan an ménaj éti yonn adan yo ka désidé i bout ek i pé pa ankò , i lé kasé lo .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Yo an mitan lavil éti moun pé pa garé , pa menm palé sé touris bato a ki pa konnet lavil é ki pé pa jwenn yo .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Mé sa ki pli red pou yo , la éti yo mété yo a , ka sanm an kaj pou tig épi pigbil .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Apaw di bò lanmè , pa djè ni anlo plas éti sé touris-la pé vini wè yo , ek fè yo vann .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Anlo jounalis té douvan an lopital éti i té rantré .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Akondi gran-nonm lan éti nou fété san lanné ' y la lanné-tala , annou arété kouri vidé an kannaval lézot .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Man pé ké di zot ki moun mé ni yonn éti ki pòté vorasité ek i trapé an mal-bouden épi bouden dor la .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Kréyolad lé swété zot an bon lanné 2014 pas lanné-tala ka bay dizan 10 lanné éti gras a zot ka ba Antilla fos-la épi abònman-zot .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,La té ni an vilaj éti ou té pé pasé an bel moman .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Yo pa fè kon Gwomòn éti ni dis lis ka goumen kon chat meg an zaboka vet pou an plas mè .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Asiparé sé dan Linò pabò Kaz-Pilot an montan éti ni plis moun malad .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,I sispann senk labé an sel kou éti té ké manti anlè an lot labé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Ni an ti-yich li éti ka di ' y dépi tjek tan i anvi fè labé .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyolad 511 B3 Antilla 1603 , 13 mars 2014 Lis finalis Pa ri Térez si i mandé pou yo mété an lwa éti ka blijé nonm mété fanm douvan anlè lis .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Kréyolad 516 Antilla 1608 , 17 avril 2014 Étidian an gaway Étidian entjet kon tatjet an finet nef , kisiswa pou l ' UAG éti ka jwé an vié jé .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,Sé tala éti pou pasé Bac-la poko sav ki manniè yo ké pé mennen bak-yo .,,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Man ka konstaté kon Adjilbè ki té ka palé mwen di lagrikilti éti sé jou-tala épi séchres-la , ka pran bon fè .",,,,,
martinicancreole,Antilla,2009-2018,ANTILLA.txt,"Lasimenn pasé man wè Gwo-Moris éti ka fè an réjim dapré ' y antré fè an gran latjé Mc Donald , ek apré , i pété ' y kay Kentucky pou té trapé dé o twa mòso poul épi bon piman an sa .",,,,,
